Last Major Name,Team Gender,Last Cumulative BU GPA
Advertising,M,29
Advertising,W,19
American Studies,W,2
Anthro-SpecBioAnthro,M,1
Anthro-SpecSocioAnth,W,1
Anthropology,W,1
Applied Human Devlp,W,1
Approved Deferral,M,35
Approved Deferral,W,31
Architectural Studs,M,3
Architectural Studs,W,3
Astronomy,M,1
Behavior and Health,M,1
Behavior and Health,W,11
"Bio Cell,Molec,Gentc",M,2
"Bio Cell,Molec,Gentc",W,3
Bio w/spec Beh Bio,M,1
"Bio, Ecology & Consv",M,1
"Bio, Ecology & Consv",W,2
"Bio, Neurobiology",W,1
Biochem & Molec Bio,M,5
Biochem & Molec Bio,W,3
Biology,M,3
Biology,W,24
Biomedical Engnrng,M,5
Biomedical Engnrng,W,21
Business Admin & Mgt,M,130
Business Admin & Mgt,W,73
Chemistry,W,3
Chemistry: Biochem,W,1
Communication,M,10
Communication,W,11
Computer Engineering,M,9
Computer Engineering,W,2
Computer Science,M,15
Computer Science,W,5
Data Science,M,1
Earth&Envirnmntl Sci,W,6
Economics,M,41
Economics,W,16
Economics and Math,M,2
Economics and Math,W,2
Edu&HumanDevSpecCAMH,W,1
Edu&HumanDevSpecYD&J,W,1
Electrical Engnrng,M,4
English,M,2
English,W,5
Envir Analysis & Pol,M,1
Envir Analysis & Pol,W,7
Environmental Health,M,1
Film and Television,M,4
Film and Television,W,7
Fresh/Sophomore Core,M,1
Genl Lib Arts & Sci,M,3
Genl Lib Arts & Sci,W,3
Graphic Design,M,1
Graphic Design,W,1
Health Science,M,10
Health Science,W,79
Health Studies,M,3
Health Studies,W,8
History,M,1
History,W,1
History of Art&Arch,W,1
Hlthcre Emrgncy Mgmt,W,1
Hospitality Admin,M,18
Hospitality Admin,W,15
Hospitality Mgmt,M,1
Hospitality and Comm,M,1
Hospitality and Comm,W,3
Human Physiology,M,8
Human Physiology,W,26
Interntl Relations,M,8
Interntl Relations,W,23
Journalism,M,2
Journalism,W,9
Linguistics,W,1
Linguistics&CompSci,W,1
Marine Science,M,1
Marine Science,W,3
Math-Computer Scienc,M,2
Math-Computer Scienc,W,1
Mathematics,M,5
Mathematics,W,1
Mechanical Engnrng,M,27
Mechanical Engnrng,W,13
Media Science,M,2
Neuroscience,M,4
Neuroscience,W,6
Nutritional Sciences,M,1
Nutritional Sciences,W,3
Phil & Political Sci,M,1
Phil & Political Sci,W,1
Phil & Psychology,W,2
Philosophy,M,2
Philosophy,W,1
Philosophy&Neuroscnc,W,1
Physics,M,1
Physics&ComputerSci,M,1
Political Science,M,10
Political Science,W,17
Project Management,M,1
Psychology,M,12
Psychology,W,29
Public Relations,M,6
Public Relations,W,18
Religion,M,1
Sociology,M,5
Sociology,W,3
Stats&ComputerSci,W,1
Television,W,1
