Team Name,Last Cumulative BU GPA
CROSS COUNTRY (MEN),3.409756097560976
CROSS COUNTRY (WOMEN),3.4017948717948716
FIELD HOCKEY,3.4045945945945943
LACROSSE (MEN),3.0089887640449438
LACROSSE (WOMEN),3.214905660377358
MEN'S BASKETBALL,3.1348000000000003
MEN'S ICE HOCKEY,2.97046511627907
MEN'S ROWING,3.1851898734177215
MEN'S SOCCER,3.2554385964912282
MEN'S SWIMMING,3.3402040816326526
MEN'S TENNIS,3.348695652173913
MEN'S TRACK AND FIELD,3.029333333333333
SOFTBALL,3.4859999999999998
WOMEN'S BASKETBALL,3.2542857142857144
WOMEN'S GOLF,3.624545454545455
WOMEN'S HOCKEY,3.271578947368421
WOMEN'S ROWING,3.349204545454546
WOMEN'S SOCCER,3.5372916666666665
WOMEN'S SWIMMING,3.470434782608696
WOMEN'S TENNIS,3.5616666666666665
WOMEN'S TRACK AND FIELD,3.2558
WOMENS LIGHTWEIGHT ROWING,3.347704918032787
